topic,type_label,n_distinct_items,n_rows,users,unit_price_p10,unit_price_p50,unit_price_p90,price_ratio_p90_p10,generic_share,coherent_ok,members
62,豆干 等9款,9,17,"0,2",18.0,30.0,133.0,7.4,0.0,False,豆干:5 | 蘿蔔:4 | 燙青菜時蔬:2 | lasagna:1 | 滷蛋:1 | 豬耳朵:1 | 嘴邊肉(半):1 | 海帶:1 | 星球工坊爆米花:1
63,黑蒜豚骨拉麵 等6款,6,17,"1,2",166.0,170.0,176.0,1.1,0.0,True,黑蒜豚骨拉麵:12 | 釜山紅湯拉麵:1 | 博多叉燒拉麵 (大):1 | 松露豚骨拉麵:1 | 客製醬油豚骨拉麵:1 | 客製麻辣豚骨拉麵:1
64,統一麵包快樂牛奶球 等10款,10,17,"0,1,2",21.0,35.0,57.4,2.7,0.0,True,統一麵包快樂牛奶球:5 | 石安牧場溏心蛋飯糰(圓):3 | (a)多力多滋超濃起司味玉米片:2 | 耕豆漿布丁燒 (蛋奶素)150g:1 | 雪花嘉義方塊酥:1 | 健達巧克力含牛奶內餡(4入):1 | 統一麵包愛心牛奶球:1 | 統一布丁--雞蛋口味:1 | 三起司燻腸完熟蕃茄義大利麵:1 | 鮮奶芋泥:1
65,超級大麥海洋珍珠堡 等5款,5,17,"0,1",76.8,85.0,85.0,1.1,0.0,True,超級大麥海洋珍珠堡:10 | 超級大麥杏鮑菇珍珠堡:3 | 海洋珍珠堡:2 | 麥當勞勁辣鷄腿堡+薯條(小)+四塊麥克鷄塊+可樂(中) 好禮即享券:1 | c黃金地瓜薯條套加6:1
66,烤雞(熟) 等2款,2,17,"1,2",45.0,45.0,45.0,1.0,0.0,True,烤雞(熟):16 | 鮮蝦(熟):1
67,三明治冰淇淋 等5款,5,16,"0,1",29.0,31.5,133.0,4.6,0.0,True,三明治冰淇淋:8 | 起士核桃堡140元:4 | 豆乳原味奶酪:2 | (臺大)小鮮乳:1 | 歐式蔓越莓核桃65元:1
68,輕食咖啡廳 等2款,2,16,"0,1",145.0,230.0,401.5,2.8,0.0,True,輕食咖啡廳:15 | 咖啡廳coffee shops & tea salons:1
69,原味波士頓 等6款,6,16,1,109.0,160.0,175.0,1.6,0.12,True,原味波士頓:9 | 服務費用:2 | 提拉米蘇:2 | 拿鐵:1 | 泡芙:1 | 熱帶叢林:1
70,韓式泡菜拉麵 等3款,3,16,"0,1,2",150.0,150.0,239.0,1.6,0.0,True,韓式泡菜拉麵:13 | 拉麵:2 | 香辣麵里肌:1
71,日香雞肉飯 - 私房辣椒雞腿飯(b) 等8款,8,16,"0,1",120.0,122.5,280.0,2.3,0.0,True,日香雞肉飯 - 私房辣椒雞腿飯(b):8 | 松露野菇牛肝菌燉飯:2 | 珍大雞排 - 炙燒火烤雞腿(b):1 | 珍大雞排 - 珍大雞排飯(f):1 | 番茄匈牙利雞腿排:1 | 赤香雞柳王 - 韓式直火燒肉片(e):1 | 炒野菇沙拉 field mushroom salad:1 | 辣豬---o----紅茶(冷):1
72,餅乾3片 等3款,3,16,"0,1",25.0,60.0,60.0,2.4,0.0,True,餅乾3片:12 | 餅乾1片:3 | 可樂餅:1
73,林聰明-雞肉飯飯糰 等13款,13,16,"0,2",35.0,45.0,270.0,7.7,0.0,False,林聰明-雞肉飯飯糰:2 | (a)御料小館香辣炸雞球:2 | 卡滋脆皮燒肉螺螄粉:2 | 御料小館蔥抓餅:1 | 打拋豬豬-不辣:1 | 鹹酥雞套餐-rextor:1 | 泡菜煎餅 김치전 kimchi pancake:1 | (吊)玫瑰鹽水煮蛋:1 | 剝皮辣椒雞奶油細扁麵:1 | 御選肉鬆飯糰:1 | 青花椒麻雞肉拌麵:1 | (e )光泉生乳米漿:1 | 麵筋40:1
74,櫛瓜 等9款,9,15,0,30.0,30.0,45.0,1.5,0.0,True,櫛瓜:3 | 豆皮:3 | 香菇:2 | 孜然羊肉串:2 | 培根麻糬:1 | 多汁雞肉捲:1 | 特選牛肉串:1 | 杏鮑菇:1 | 雞腿肉串:1
75,_美國_雪花牛套餐 等12款,12,15,"0,1,2",57.2,239.0,600.0,10.5,0.0,False,_美國_雪花牛套餐:3 | b 優惠套餐(原價138):2 | 140元套餐:1 | 壽日本國產牛羽下套餐:1 | a5牛肉湯麵套餐:1 | 霜降牛+梅花豬:1 | 米香炙牛燃麵套餐:1 | 經典摃丸湯:1 | 蟹黃流金拌麵套餐:1 | _美國_嫩肩牛套餐:1 | 白飯:1 | a套餐:1
76,芽香綠金萱(l) 等4款,4,15,1,35.0,35.0,46.0,1.3,0.0,True,芽香綠金萱(l):9 | 柔香青金萱(l):3 | 金萱雙q:2 | 發發通化 - 芽香綠金萱(l):1
77,體適能-全票 等5款,5,15,"1,2",50.0,50.0,260.0,5.2,0.0,True,體適能-全票:10 | minecraft 165吋合金公仔驚喜包/ w1/ 隨機:2 | 桌球場:1 | 玩具公仔:1 | pop mart-動漫生活-玩具公仔:1
78,泰山淨之水 等5款,5,15,"0,2",19.0,21.0,48.0,2.5,0.0,True,泰山淨之水:7 | ex強氣泡水:4 | 統一鹼性離子水:2 | uni water550水:1 | 泰山純水 700ml:1
79,台灣上等蕉(裸賣) 等3款,3,15,"0,1,2",20.0,20.0,20.0,1.0,0.0,True,台灣上等蕉(裸賣):13 | 台灣黑輪:1 | 小 手拍 小農蕃茄瑪:1
80,牧香穀物鮮奶茶(l) 等10款,10,15,"0,1,2",40.0,70.0,148.0,3.7,0.0,True,牧香穀物鮮奶茶(l):5 | 大阿薩姆紅茶:2 | 抹茶牛奶(i):1 | 黑糖牛奶-ice:1 | pkl330立頓琥珀紅茶:1 | 焙金萱鮮奶茶(l):1 | 鮮奶紅-冰:1 | 茶中香檳鮮奶茶(l):1 | 焦糖海鹽鮮奶茶(l):1 | 布丁奶茶-中:1
81,臨停 等6款,6,14,"0,1",28.6,30.0,32.8,1.1,0.0,True,臨停:6 | 95無鉛汽油:4 | 票號2025092916046243:1 | 95無鉛:1 | 95plus無鉛:1 | 95+無鉛:1
82,涼拌豆干絲 等8款,8,14,"0,1,2",35.0,37.5,136.0,3.9,0.0,True,涼拌豆干絲:7 | 豬腳能量碗:1 | 水餃10粒-辣:1 | 紅油脆筍:1 | 涼拌小黃瓜:1 | 花枝丸x4:1 | d08 豆漿仙草:1 | 炸餃子:1
83,粥天子-廣式皮蛋瘦肉煲粥（單品）,1,14,0,59.0,59.0,69.0,1.2,0.0,True,粥天子-廣式皮蛋瘦肉煲粥:14
84,冰綠茶-小 等8款,8,14,"0,1,2",35.0,40.5,131.5,3.8,0.0,True,冰綠茶-小:6 | 冰綠茶-中:2 | 冰蘋果青茶大:1 | 冰紅茶-中:1 | 蜂蜜青茶-冰:1 | 冰奶茶:1 | d02 大馬式拉茶:1 | l-開心果抹茶-完美冰:1
85,酥脆雞塊 等5款,5,14,1,95.0,130.0,249.0,2.6,0.0,True,酥脆雞塊:8 | 香蒜起士麵包:3 | 菲力雞排麵包:1 | 白醬嫩煎雞肉 寬扁麵:1 | 青醬嫩煎雞肉 寬扁麵:1
86,fmc鹼性離子水800ml 等5款,5,13,"1,2",20.0,28.0,29.0,1.4,0.0,True,fmc鹼性離子水800ml:4 | 統一ph9鹼性離子水:4 | 泰山純水:3 | 悅氏light鹼性水:1 | 悅氏天然水2200ml:1
87,配料（單品）,1,13,1,15.0,15.0,27.0,1.8,0.0,True,配料:13
88,奶茶 等2款,2,13,1,130.0,130.0,130.0,1.0,0.0,True,奶茶:12 | 風味奶茶:1
89,小吃food court 等5款,5,13,"0,1,2",72.0,124.0,537.0,7.5,0.77,False,小吃food court:9 | 開飯川食堂:1 | 台灣客美多珈琲 餐飲 正價品:1 | 漢堡王:1 | mini one:1
90,ab優酪乳原味 等6款,6,13,"0,2",28.0,28.0,88.4,3.2,0.0,True,ab優酪乳原味:7 | 鮮乳坊起司銀絲卷:2 | 起司牛肉可頌:1 | 光泉杯裝全脂鮮乳:1 | 乳酪火山布蕾:1 | 福樂草莓優酪乳:1
91,照燒雞肉堡6吋 等6款,6,13,"0,1,2",72.0,128.0,139.0,1.9,0.0,True,照燒雞肉堡6吋:4 | 雙層牛肉堡:4 | 燒烤牛肉堡6吋:2 | 義大利牛肉丸堡6吋:1 | 火腿堡6吋:1 | 獅子頭雞肉飯-加蔥:1
92,味丹多喝水 等3款,3,12,"0,2",36.1,47.0,48.0,1.3,0.0,True,味丹多喝水:10 | 多喝水pet700:1 | 多喝水pet2000:1
93,撈派巴沙魚片(半) 等12款,12,12,0,50.0,86.0,239.5,4.8,0.0,True,撈派巴沙魚片(半):1 | 凍豆腐(半):1 | 自選小料:1 | 撈派撈麵:1 | 美國特選肥牛(半):1 | 招牌蝦滑(半):1 | 紅糖滋粑(半):1 | 娃娃菜(半):1 | 水蓮菜(半):1 | 日本越光米:1 | 響鈴卷(半):1 | 千張豆皮(半):1
94,(區)現蒸地瓜25元 等5款,5,12,0,25.0,25.0,35.0,1.4,0.0,True,(區)現蒸地瓜25元:6 | (區)現蒸地瓜30元:2 | (區)現蒸地瓜35元:2 | 白蘿蔔:1 | (區)現蒸地瓜40元:1
95,特選美式冰咖啡(大) 等6款,6,12,1,45.0,52.5,65.0,1.4,0.0,True,特選美式冰咖啡(大):4 | 美式冰咖啡(大):4 | 咖哩盤30cm:1 | 左岸咖啡館奶茶240ml(杯):1 | 美式冰咖啡(特大):1 | 美式熱咖啡(大):1
96,停車費 等3款,3,12,"0,1",30.0,30.0,87.0,2.9,0.0,True,停車費:9 | 清潔維護費:2 | 停車場清潔維護費:1
97,糖心蛋(兩片) 等2款,2,12,1,30.0,30.0,30.0,1.0,0.0,True,糖心蛋(兩片):11 | 黃金蛋:1
98,燙青菜（單品）,1,11,1,73.0,73.0,73.0,1.0,0.0,True,燙青菜:11
99,老中醫天然仙楂70g 等2款,2,11,0,32.0,32.0,32.0,1.0,0.0,True,老中醫天然仙楂70g:10 | 良澔仙楂梅160g:1
100,叉燒飯 等11款,11,11,"0,1,2",60.0,170.0,350.0,5.8,0.0,True,叉燒飯:1 | 豚骨魚介肉盛:1 | 松露雞白湯:1 | ei壽喜牛里肌豬排鍋定食:1 | 生豆皮1份:1 | 綠茶冰:1 | 黑糖仙草汁:1 | 加北海道七星米飯:1 | 唐揚雞咖哩飯:1 | 咖哩玉米海帶芽拉麵 (小):1 | 腰內豬排咖哩飯:1
101,餛飩牛肉湯麵(小) 等9款,9,11,"0,1,2",54.0,65.0,90.0,1.7,0.0,True,餛飩牛肉湯麵(小):3 | 豬油麵(小):1 | 雙醬麵(小):1 | 餛飩麵(小):1 | 魯肉飯(小):1 | 蘿蔔牛肉清湯:1 | 川味麻辣鐵板麵(含蛋):1 | (學)極饗-真飽香辣麻醬涼麵:1 | 川味麻辣鍋:1
102,極致巧克力蛋糕 等4款,4,11,"1,2",160.0,160.0,200.0,1.2,0.0,True,極致巧克力蛋糕:8 | 楚佛巧克力:1 | 巴斯克蛋糕:1 | 巧克力起司蛋糕:1
103,影印費 等3款,3,10,"0,2",1.0,33.5,285.5,285.5,0.0,False,影印費:8 | 劃位-+ 加價:1 | try 日本語n3達陣 從日檢文法展開全方位學習 (附m:1
104,外送費（單品）,1,10,0,10.0,17.5,30.5,3.0,1.0,True,外送費:10
105,林聰明-雞肉飯飯糰 等3款,3,10,"0,1",36.0,36.0,63.0,1.7,0.0,True,林聰明-雞肉飯飯糰:8 | (區)粥天子-田園雞蓉玉米粥:1 | 增雞蛋白餐:1
106,大冰美式（單品）,1,10,1,45.0,45.0,45.0,1.0,0.0,True,大冰美式:10
107,極選厚菠蘿 等2款,2,10,1,39.0,39.0,50.0,1.3,0.0,True,極選厚菠蘿:8 | 32層菠蘿可頌:2
108,白玉珍珠 / 無糖 / 微冰 等2款,2,10,1,10.0,10.0,10.0,1.0,0.0,True,白玉珍珠 / 無糖 / 微冰:6 | 無糖 / 微冰 / 白玉珍珠:4
109,紅油口水雞 等10款,10,10,"1,2",47.0,75.0,170.2,3.6,0.0,True,紅油口水雞:1 | 椒麻雞(微辣)-不香菜:1 | 香辣麵q雞:1 | 高麗菜50:1 | 辣子雞丁90:1 | 香菇肉70:1 | 金沙杏鮑菇80:1 | 白飯一杯20:1 | 番茄炒蛋60:1 | 季節青菜60:1
