topic,type_label,n_distinct_items,n_rows,users,unit_price_p10,unit_price_p50,unit_price_p90,price_ratio_p90_p10,generic_share,coherent_ok,members
10,a 美式黑咖啡-中冰 等18款,18,35,"0,1,2",44.6,64.0,78.0,1.7,0.0,True,a 美式黑咖啡-中冰:6 | 特選美式冰咖啡(大):4 | 四 四季翠玉青茶-大冰:4 | 路易莎咖啡餐點類:3 | 麥香三明治-香燻雞肉:3 | a 美式黑咖啡-大冰:2 | 美式軟餅乾-黑紳士咖啡巧克力(片):2 | 義式磚壓-火腿起士:1 | hf焙茶鮮奶冰沙-中冰:1 | 經典咖啡松露生巧:1 | 冰美式咖啡大:1 | 超值早餐派對:1 | scr小農雪點鮮奶茶-中熱:1 | 風味三明治-香燻雞肉:1 | pt 水蜜桃蘋果茶-中冰:1 | 美式軟餅乾-超人氣經典巧克力(片):1 | 深黑巧克脆皮泡芙(個):1 | d06 怡保白咖啡 - 冰:1
11,大1四季春珍波椰 等5款,5,34,"0,1",50.0,50.0,60.0,1.2,0.0,True,大1四季春珍波椰:26 | 飲料:4 | 大四季春青茶:2 | 四季春茶(冰):1 | 甜品:1
12,16oz(冰)特選美式咖啡 等2款,2,33,1,60.0,60.0,60.0,1.0,0.0,True,16oz(冰)特選美式咖啡:32 | 麥當勞豬肉滿福堡加蛋送冰經典美式咖啡中杯(好禮即享券):1
13,parking fee（單品）,1,33,1,35.0,35.0,35.0,1.0,0.0,True,parking fee:33
14,桌球場（單品）,1,33,1,100.0,100.0,100.0,1.0,0.0,True,桌球場:33
15,寶山黑糖麻糬手 等25款,25,32,"0,2",26.2,39.0,68.2,2.6,0.0,True,寶山黑糖麻糬手:3 | 巧克力濃心菠蘿:3 | 隨緣紅燒嫩菇麵:2 | 隨緣沙茶豆腐麵:2 | 起司燒:2 | 豆皮烏龍麵:1 | 黑松沙士加鹽:1 | 泰山紅豆湯:1 | 起司qq球:1 | 丹麥奶酥菠蘿:1 | 炸醬麵-素食:1 | 抹茶本味:1 | 雙響泡日式雞白:1 | 味味a 川香椒麻:1 | 三重起司麵包:1 | 麵大師醬香小醋:1 | 茶裏王日式無糖:1 | 海鹽焦糖千層酥:1 | 金脆雞棒腿便當:1 | 經典排骨便當:1 | 筷子(計價餐具):1 | 奇巧酥脆威化巧:1 | 家常起司口味:1 | 亨氏番茄醬:1 | 愛之味分解茶秋:1
16,停車費 等3款,3,31,"0,1",10.0,40.0,40.0,4.0,0.0,True,停車費:29 | 停車費用:1 | 臨停費用:1
17,三鮮火鍋(海鮮風味) 等22款,22,31,"0,1",50.0,160.0,428.0,8.6,0.0,False,三鮮火鍋(海鮮風味):3 | 高冷青茶:2 | 清香奶茶:2 | 菌類拼盤:2 | 日本越光米:2 | 高麗菜:2 | 經典麻辣火鍋(牛油):2 | 招牌蝦滑:2 | 豬肚雞火鍋:1 | 鐵觀音奶茶:1 | 水蓮菜(半):1 | 紅糖滋粑:1 | 龍蝦沙拉風味丸(半):1 | 撈派滑牛肉:1 | 薄切牛舌(半):1 | 鮮切文昌雞肉(半):1 | 伊比利豬腹松板(半):1 | 安格斯無骨牛小排prime(半):1 | 熱帶水果冰茶:1 | 澳洲白金巧克力和牛雪花(半):1 | 自選小料:1 | 撈派滑牛肉(半):1
18,來一客杯麵京燉肉骨風味 等16款,16,30,"0,1,2",25.0,32.5,270.0,10.8,0.03,False,來一客杯麵京燉肉骨風味:10 | (a)來一客杯麵鮮蝦魚板風味:3 | 拉麵道日式豚骨風味:3 | 適量豚骨鹽味拉麵-細麵:2 | 極饗-真飽經典麻醬涼麵:1 | 來一客杯麵肉燥菠菜風味:1 | 原味鹽味拉麵-細麵:1 | 濃厚豚骨鹽味拉麵-細麵:1 | 白飯:1 | 原味煎餃五個:1 | 服務費:1 | 偉嘉貓食濕糧海陸饗宴餐:1 | (蔬)祥和川味水煮牛若燴飯:1 | 真魷味紅燒口味82g:1 | 2唐揚套餐 味噌湯:1 | 658 成人:1
19,紅茶（單品）,1,30,1,90.0,90.0,90.0,1.0,0.0,True,紅茶:30
