super,custom_name,n_distinct_items,n_rows,n_users,unit_price_p10,unit_price_p50,unit_price_p90,top_items,all_items
22,美式咖啡,3,49,1,45.0,45.0,45.0,大冰美式(45) | 特大冰美式(2) | 中冰美式(2),大冰美式(45) | 特大冰美式(2) | 中冰美式(2)
2,停車費與加油,9,26,2,28.6,30.0,75.0,停車費(9) | 臨停(6) | 95無鉛汽油(4) | 清潔維護費(2) | 票號2025092916046243(1) | 停車場清潔維護費(1) | 95無鉛(1) | 95plus無鉛(1) | 95+無鉛(1),停車費(9) | 臨停(6) | 95無鉛汽油(4) | 清潔維護費(2) | 票號2025092916046243(1) | 停車場清潔維護費(1) | 95無鉛(1) | 95plus無鉛(1) | 95+無鉛(1)
12,超市熟食,2,17,2,45.0,45.0,45.0,烤雞(熟)(16) | 鮮蝦(熟)(1),烤雞(熟)(16) | 鮮蝦(熟)(1)
15,大學商店食品,5,16,2,29.0,31.5,133.0,三明治冰淇淋(8) | 起士核桃堡140元(4) | 豆乳原味奶酪(2) | (臺大)小鮮乳(1) | 歐式蔓越莓核桃65元(1),三明治冰淇淋(8) | 起士核桃堡140元(4) | 豆乳原味奶酪(2) | (臺大)小鮮乳(1) | 歐式蔓越莓核桃65元(1)
19,運動健身,5,15,2,50.0,50.0,260.0,體適能-全票(10) | minecraft 165吋合金公仔驚喜包/ w1/ 隨機(2) | 桌球場(1) | 玩具公仔(1) | pop mart-動漫生活-玩具公仔(1),體適能-全票(10) | minecraft 165吋合金公仔驚喜包/ w1/ 隨機(2) | 桌球場(1) | 玩具公仔(1) | pop mart-動漫生活-玩具公仔(1)
24,飲料配料,1,13,1,15.0,15.0,27.0,配料(13),配料(13)
20,零食梅餅,2,11,1,32.0,32.0,32.0,老中醫天然仙楂70g(10) | 良澔仙楂梅160g(1),老中醫天然仙楂70g(10) | 良澔仙楂梅160g(1)
13,便當,1,3,1,105.0,105.0,113.0,便當(3),便當(3)
17,活動票券,2,2,2,137.9,209.5,281.1,優惠單人套餐(1) | 299成人(1),優惠單人套餐(1) | 299成人(1)
18,自助餐,2,2,1,31.0,35.0,39.0,30元盤(1) | 40元盤(1),30元盤(1) | 40元盤(1)
