config,n_groups,total_delta,price_2term,qty_2term,price_3term,qty_3term,interaction,resid_2term,resid_3term
group=exact,95,-1227.0,1488.0,-2715.0,2624.2,-2715.0,-1136.2,0.0,0.0
group=cluster,137,-7656.2,3334.9,-10991.1,19217.2,-10991.1,-15882.3,-0.0,-0.0
