super,label,n_fine_clusters,n_distinct_items,n_rows,unit_price_p50,member_fine_types
5,超商零食點心,10,78,198,42.0,金塊香蒜-小單位 | 星-二配板巧克力夾心土司 | 卡辣姆久平切洋芋片勁辣唐辛35元 | 金黃起司火腿蛋三明治 | 起司蛋堡 | d摩斯雞塊套加60 | 摩斯鱈魚堡 | 統一麵包快樂牛奶球 | 超級大麥海洋珍珠堡 | 極選厚菠蘿
1,手搖飲料與麵食,9,54,176,72.5,皮蛋乾麵 | 大1四季春珍波椰 | 金萱雙q | 薯球(肯)(活動) | 清爽沙拉飯 | 黑蒜豚骨拉麵 | 韓式泡菜拉麵 | 叉燒飯 | 餛飩牛肉湯麵(小)
8,瓶裝茶飲,8,64,145,35.0,重乳奶茶tp330 | 午后時光-重乳奶茶tp330 | 冰紅茶-大(新) | 油切蕎麥茶 | 芽香綠金萱(l) | 牧香穀物鮮奶茶(l) | 冰綠茶-小 | 白玉珍珠 / 無糖 / 微冰
4,正餐主食,6,38,140,125.0,嫩切雞肉堡6吋 | 12fit - 特餐_七味蒜香雞胸(b) | 母傳原湯清燉牛肉 | 日香雞肉飯 - 私房辣椒雞腿飯(b) | 照燒雞肉堡6吋 | 燙青菜
16,停車費,4,5,134,35.0,parking fee | parking fee | 停車費 | parking fee
3,速食小食,7,84,127,48.0,寶山黑糖麻糬手 | 四塊麥克雞塊 | 配-經典大薯 | 櫛瓜 | 涼拌豆干絲 | 撈派巴沙魚片(半) | 紅油口水雞
10,手搖甜點飲,7,26,123,130.0,紅茶 | 草莓 | 多多綠茶 | 原味波士頓 | 酥脆雞塊 | 奶茶 | 極致巧克力蛋糕
6,黑咖啡與輕食,5,28,113,60.0,a 美式黑咖啡-中冰 | 16oz(冰)特選美式咖啡 | 美式冰咖啡(大) | 輕食咖啡廳 | 特選美式冰咖啡(大)
14,生鮮水果早餐,6,31,105,35.0,韓國農心辛香菇杯麵 | 台灣香蕉重量分享包(2入) | 桂格100%燕麥(顆粒微甜)290ml | 芽香綠金萱(l) | 台灣上等蕉(裸賣) | (區)現蒸地瓜25元
9,熟食飯糰,4,12,85,45.0,(a)御料小館香辣炸雞球 | 御選肉鬆飯糰 | 粥天子-廣式皮蛋瘦肉煲粥 | 林聰明-雞肉飯飯糰
7,瓶裝水,5,19,75,35.0,多喝水鹼性竹炭 | (a)統一h2o純水pet2200 | 泰山淨之水 | fmc鹼性離子水800ml | 味丹多喝水
23,優酪乳乳製品,3,21,60,30.0,福樂自然零藍莓優酪 | ab原味優酪乳206ml(瓶) | ab優酪乳原味
0,文具列印,3,38,56,15.5,a4黑白列印ibon | 藝舍黑田桑小卡 | 百樂g2 07鋼珠筆藍
11,桌球撞球,2,3,56,100.0,桌球場 | 桌球場
21,超市鍋物點心,3,7,54,25.0,餅乾1片 | 餅乾3片 | 糖心蛋(兩片)
22,美式咖啡,2,3,49,45.0,大冰美式 | 大冰美式
2,停車費與加油,2,9,26,30.0,臨停 | 停車費
12,超市熟食,1,2,17,45.0,烤雞(熟)
15,大學商店食品,1,5,16,31.5,三明治冰淇淋
19,運動健身,1,5,15,50.0,體適能-全票
24,飲料配料,1,1,13,15.0,配料
20,零食梅餅,1,2,11,32.0,老中醫天然仙楂70g
13,便當,1,1,3,105.0,便當
17,活動票券,1,2,2,209.5,優惠單人套餐
18,自助餐,1,2,2,35.0,30元盤
