user_id,group,base_month,cur_month,P0,Q0,P1,Q1,base_spend,cur_spend,delta,price_effect,qty_effect,residual
1,d摩斯雞塊套加60 @ 安心食品服務南港展館,2025-12,2026-05,60.0,4.0,60.0,1.0,240.0,60.0,-180.0,0.0,-180.0,0.0
1,黑蒜豚骨拉麵 @ 九南商行,2025-09,2026-04,170.0,3.0,170.0,2.0,510.0,340.0,-170.0,0.0,-170.0,0.0
1,燙青菜 @ 吾時食清燉紅燒牛肉麵,2026-01,2026-05,43.0,1.0,73.0,3.0,43.0,219.0,176.0,90.0,86.0,0.0
0,餅乾3片 @ 傑洛國際台大店,2026-02,2026-05,60.0,2.0,60.0,1.0,120.0,60.0,-60.0,0.0,-60.0,0.0
1,輕食咖啡廳 @ 冠樺生活,2025-09,2026-05,130.0,2.0,235.0,1.0,260.0,235.0,-25.0,105.0,-130.0,0.0
1,糖心蛋(兩片) @ 九南商行,2025-09,2026-04,30.0,3.0,30.0,2.0,90.0,60.0,-30.0,0.0,-30.0,0.0
1,皮蛋乾麵 @ 一娘子小吃店,2025-12,2026-04,100.0,1.0,100.0,2.0,100.0,200.0,100.0,0.0,100.0,0.0
0,桂格100%燕麥(顆粒微甜)290ml @ 統一超商台北市第七四一,2025-09,2026-04,35.0,3.0,35.0,2.0,105.0,70.0,-35.0,0.0,-35.0,0.0
1,(a)統一h2o純水pet2200 @ 統一超商新北市第一四三五,2025-10,2026-05,35.0,6.0,35.0,2.0,210.0,70.0,-140.0,0.0,-140.0,0.0
1,體適能-全票 @ 頂尖運動行銷樹林營業所,2025-09,2026-05,50.0,3.0,50.0,1.0,150.0,50.0,-100.0,0.0,-100.0,0.0
1,芽香綠金萱(l) @ 大仟飲料店,2025-12,2026-03,35.0,2.0,35.0,3.0,70.0,105.0,35.0,0.0,35.0,0.0
2,味丹多喝水 @ 全聯實業永和成功,2025-10,2026-05,48.0,2.0,46.0,1.0,96.0,46.0,-50.0,-2.0,-48.0,0.0
1,原味波士頓 @ 貓啡因商行,2025-09,2026-05,160.0,2.0,160.0,3.0,320.0,480.0,160.0,0.0,160.0,0.0
1,超級大麥海洋珍珠堡 @ 安心食品服務南港展館,2025-12,2026-05,85.0,3.0,85.0,1.0,255.0,85.0,-170.0,0.0,-170.0,0.0
0,來一客杯麵京燉肉骨風味 @ 統一超商台北市第七四一,2025-09,2026-05,25.0,1.0,25.0,1.0,25.0,25.0,0.0,0.0,0.0,0.0
0,a4黑白列印ibon @ 統一超商台北市第七四一,2025-12,2026-03,3.0,136.0,3.0,2.0,408.0,6.0,-402.0,0.0,-402.0,0.0
0,ab原味優酪乳517ml(瓶) @ 統一超商台北市第七四一,2025-09,2026-05,49.0,1.0,49.0,1.0,49.0,49.0,0.0,0.0,0.0,0.0
