user_id,group,month,amt,qty,n,unit_price
0,外送費 @ 優食台灣,2026-04,255.0,7.0,7,36.42857142857143
0,外送費 @ 優食台灣,2026-05,210.0,7.0,7,30.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2025-09,297.0,3.0,3,99.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2025-10,407.0,4.0,4,101.75
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2025-11,495.0,5.0,5,99.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2025-12,792.0,8.0,8,99.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2026-01,99.0,1.0,1,99.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2026-02,198.0,2.0,2,99.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2026-03,792.0,8.0,8,99.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2026-04,495.0,5.0,5,99.0
0,嫩切雞肉堡6吋 @ 傑洛國際台大店,2026-05,594.0,6.0,6,99.0
0,服務費和其他費用 @ 優食台灣,2026-03,80.0,5.0,5,16.0
0,服務費和其他費用 @ 優食台灣,2026-04,99.0,7.0,7,14.142857142857142
0,服務費和其他費用 @ 優食台灣,2026-05,108.0,7.0,7,15.428571428571429
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,2025-10,36.0,1.0,1,36.0
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,2025-11,36.0,1.0,1,36.0
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,2025-12,36.0,1.0,1,36.0
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,2026-01,72.0,2.0,1,36.0
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,2026-04,72.0,2.0,2,36.0
0,林聰明-雞肉飯飯糰 @ 統一超商台北市第七四一,2026-05,36.0,1.0,1,36.0
0,桂格100%燕麥(顆粒微甜)290ml @ 統一超商台北市第七四一,2025-09,105.0,3.0,3,35.0
0,桂格100%燕麥(顆粒微甜)290ml @ 統一超商台北市第七四一,2025-11,35.0,1.0,1,35.0
0,桂格100%燕麥(顆粒微甜)290ml @ 統一超商台北市第七四一,2026-03,245.0,7.0,4,35.0
0,桂格100%燕麥(顆粒微甜)290ml @ 統一超商台北市第七四一,2026-04,70.0,2.0,2,35.0
0,桂格顆粒燕麥飲 @ 全家便利商店台大二活門市部,2025-11,35.0,1.0,1,35.0
0,桂格顆粒燕麥飲 @ 全家便利商店台大二活門市部,2026-04,140.0,4.0,3,35.0
0,桂格顆粒燕麥飲 @ 全家便利商店台大二活門市部,2026-05,70.0,2.0,2,35.0
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,2025-09,30.0,1.0,1,30.0
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,2025-10,30.0,1.0,1,30.0
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,2025-11,30.0,1.0,1,30.0
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,2025-12,30.0,1.0,1,30.0
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,2026-01,30.0,1.0,1,30.0
0,福樂自然零藍莓優酪 @ 統一超商台北市第七四一,2026-05,60.0,2.0,1,30.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2025-09,69.0,1.0,1,69.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2025-10,138.0,2.0,2,69.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2025-11,128.0,2.0,2,64.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2025-12,59.0,1.0,1,59.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2026-01,59.0,1.0,1,59.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2026-02,59.0,1.0,1,59.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2026-03,236.0,4.0,4,59.0
0,粥天子-廣式皮蛋瘦肉煲粥 @ 統一超商台北市第七四一,2026-05,118.0,2.0,2,59.0
0,統一麵包快樂牛奶球 @ 統一超商台北市第七四一,2025-12,50.0,2.0,2,25.0
0,統一麵包快樂牛奶球 @ 統一超商台北市第七四一,2026-02,25.0,1.0,1,25.0
0,統一麵包快樂牛奶球 @ 統一超商台北市第七四一,2026-04,50.0,2.0,2,25.0
0,豆干 @ 東引快刀手企業社,2026-02,60.0,3.0,2,20.0
0,豆干 @ 東引快刀手企業社,2026-03,20.0,1.0,1,20.0
0,豆干 @ 東引快刀手企業社,2026-04,20.0,1.0,1,20.0
0,豆干 @ 東引快刀手企業社,2026-05,20.0,1.0,1,20.0
0,配-經典大薯 @ 和德昌台北公館,2025-10,43.0,1.0,1,43.0
0,配-經典大薯 @ 和德昌台北公館,2025-11,86.0,2.0,2,43.0
0,配-經典大薯 @ 和德昌台北公館,2025-12,86.0,2.0,2,43.0
0,配-經典大薯 @ 和德昌台北公館,2026-05,86.0,2.0,2,43.0
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,2025-11,49.0,1.0,1,49.0
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,2025-12,49.0,1.0,1,49.0
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,2026-02,98.0,2.0,1,49.0
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,2026-03,98.0,2.0,2,49.0
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,2026-04,49.0,1.0,1,49.0
0,韓國農心辛香菇杯麵 @ 統一超商台北市第七四一,2026-05,98.0,2.0,2,49.0
0,餅乾1片 @ 傑洛國際台大店,2025-10,125.0,5.0,4,25.0
0,餅乾1片 @ 傑洛國際台大店,2025-11,125.0,5.0,5,25.0
0,餅乾1片 @ 傑洛國際台大店,2025-12,200.0,8.0,8,25.0
0,餅乾1片 @ 傑洛國際台大店,2026-01,25.0,1.0,1,25.0
0,餅乾1片 @ 傑洛國際台大店,2026-03,175.0,7.0,5,25.0
0,餅乾1片 @ 傑洛國際台大店,2026-04,25.0,1.0,1,25.0
0,餅乾1片 @ 傑洛國際台大店,2026-05,75.0,3.0,3,25.0
0,餅乾3片 @ 傑洛國際台大店,2026-02,120.0,2.0,2,60.0
0,餅乾3片 @ 傑洛國際台大店,2026-03,360.0,6.0,6,60.0
0,餅乾3片 @ 傑洛國際台大店,2026-04,120.0,2.0,2,60.0
