Topic,Count,Name,Representation,Representative_Docs,top_items
95,12,95____,"['', '', '', '', '', '', '', '', '', '']","['美式冰咖啡(特大) 統一超商新北市第一四三五', '美式冰咖啡(大) 統一超商新北市第一四三五', '美式熱咖啡(大) 統一超商新北市第一四三五']",特選美式冰咖啡(大) | 美式冰咖啡(大) | 咖哩盤30cm | 左岸咖啡館奶茶240ml(杯) | 美式冰咖啡(特大)
96,12,96____,"['', '', '', '', '', '', '', '', '', '']","['停車費 遠創智慧', '停車費 遠創智慧', '停車費 遠創智慧']",停車費 | 清潔維護費 | 停車場清潔維護費
97,12,97____,"['', '', '', '', '', '', '', '', '', '']","['糖心蛋(兩片) 九南商行', '糖心蛋(兩片) 九南商行', '糖心蛋(兩片) 九南商行']",糖心蛋(兩片) | 黃金蛋
98,11,98____,"['', '', '', '', '', '', '', '', '', '']","['燙青菜 吾時食清燉紅燒牛肉麵', '燙青菜 吾時食清燉紅燒牛肉麵', '燙青菜 吾時食清燉紅燒牛肉麵']",燙青菜
99,11,99____,"['', '', '', '', '', '', '', '', '', '']","['老中醫天然仙楂70g 寶雅國際秀泰文心', '老中醫天然仙楂70g 寶雅國際台北南西', '老中醫天然仙楂70g 寶雅國際台北南西']",老中醫天然仙楂70g | 良澔仙楂梅160g
100,11,100_ei_1__,"['ei', '1', '', '', '', '', '', '', '', '']","['唐揚雞咖哩飯 丁崔兄弟', '生豆皮1份 金鍋玉葉餐飲', 'ei壽喜牛里肌豬排鍋定食 台灣吉豚屋餐飲館前']",叉燒飯 | 豚骨魚介肉盛 | 松露雞白湯 | ei壽喜牛里肌豬排鍋定食 | 生豆皮1份
101,11,101____,"['', '', '', '', '', '', '', '', '', '']","['(學)極饗-真飽香辣麻醬涼麵 美德耐台大卓越商場', '餛飩牛肉湯麵(小) 東引快刀手企業社', '川味麻辣鐵板麵(含蛋) 揚秦國際企業北市台視']",餛飩牛肉湯麵(小) | 豬油麵(小) | 雙醬麵(小) | 餛飩麵(小) | 魯肉飯(小)
102,11,102____,"['', '', '', '', '', '', '', '', '', '']","['極致巧克力蛋糕 貓啡因商行', '極致巧克力蛋糕 貓啡因商行', '極致巧克力蛋糕 貓啡因商行']",極致巧克力蛋糕 | 楚佛巧克力 | 巴斯克蛋糕 | 巧克力起司蛋糕
103,10,103_m___,"['m', '', '', '', '', '', '', '', '', '']","['影印費 飛捷廣告印刷公館', '影印費 飛捷廣告印刷公館', 'try 日本語n3達陣 從日檢文法展開全方位學習 (附m 誠品生活新店']",影印費 | 劃位-+ 加價 | try 日本語n3達陣 從日檢文法展開全方位學習 (附m
104,10,104____,"['', '', '', '', '', '', '', '', '', '']","['外送費 優食台灣', '外送費 優食台灣', '外送費 優食台灣']",外送費
105,10,105____,"['', '', '', '', '', '', '', '', '', '']","['(區)粥天子-田園雞蓉玉米粥 統一超商台北市第七四一', '林聰明-雞肉飯飯糰 統一超商台北市第七四一', '林聰明-雞肉飯飯糰 統一超商台北市第六五一']",林聰明-雞肉飯飯糰 | (區)粥天子-田園雞蓉玉米粥 | 增雞蛋白餐
106,10,106____,"['', '', '', '', '', '', '', '', '', '']","['大冰美式 全家便利商店台大二活門市部', '大冰美式 全家便利商店台大二活門市部', '大冰美式 全家便利商店台大二活門市部']",大冰美式
107,10,107____,"['', '', '', '', '', '', '', '', '', '']","['極選厚菠蘿 統一聖娜多堡市站門市部', '極選厚菠蘿 統一聖娜多堡市站門市部', '極選厚菠蘿 統一聖娜多堡市站門市部']",極選厚菠蘿 | 32層菠蘿可頌
108,10,108____,"['', '', '', '', '', '', '', '', '', '']","['白玉珍珠 / 無糖 / 微冰 陌生人商行', '白玉珍珠 / 無糖 / 微冰 陌生人商行', '無糖 / 微冰 / 白玉珍珠 陌生人商行']",白玉珍珠 / 無糖 / 微冰 | 無糖 / 微冰 / 白玉珍珠
109,10,109_60_70_80_90,"['60', '70', '80', '90', '50', 'q', '', '', '', '']","['金沙杏鮑菇80 小品雅廚中原', '番茄炒蛋60 小品雅廚中原', '季節青菜60 小品雅廚中原']",紅油口水雞 | 椒麻雞(微辣)-不香菜 | 香辣麵q雞 | 高麗菜50 | 辣子雞丁90
