Topic,Count,Name,Representation,Representative_Docs,top_items
31,24,31_35___,"['35', '', '', '', '', '', '', '', '', '']","['卡辣姆久平切洋芋片勁辣唐辛35元 統一超商台北市第七四一', '卡辣姆久平切洋芋片勁辣唐辛35元 統一超商台北市第七四一', '卡辣姆久平切洋芋片勁辣唐辛35元 統一超商台北市第七四一']",卡辣姆久平切洋芋片勁辣唐辛35元 | 美式原味熱狗 | 卡辣姆久厚切洋芋片勁辣唐辛35元 | 日式碳烤風味熱狗 | 波的多濃厚蚵仔煎洋芋片
32,24,32_tp330_400ml_350_tp375,"['tp330', '400ml', '350', 'tp375', '0', '', '', '', '', '']","['午后時光-重乳奶茶tp330 統一超商新北市第一四三五', '午后時光-重乳奶茶tp330 統一超商台北縣第四一六', '午后時光-重乳奶茶tp330 統一超商台北市第六八七']",午后時光-重乳奶茶tp330 | 紅牌速纖纖維飲料tp330 | 光泉午后時光重乳奶茶400ml | 黑松fin好菌補給飲pet580 | 統一麥香奶茶tp375
33,24,33_apple_m__,"['apple', 'm', '', '', '', '', '', '', '', '']","['福樂自然零藍莓優酪 美德耐台大卓越商場', '蘋果香蕉奶昔 apple banana shake 百亨堂文創', '野生藍莓優格(m) 陌生人商行']",福樂自然零藍莓優酪 | 晨光葡萄土司 | 自然零藍莓優酪 | 金蘋果調味乳蘋果風味 | pkl330ml黑松蘋果c
34,24,34_30_c_10_3,"['30', 'c', '10', '3', '1', '', '', '', '', '']","['活沛多 gl雙效敏益菌30顆新升級 台灣屈臣氏個人用品商店得和', '活沛多游離型葉黃素30粒 台灣屈臣氏個人用品商店政大', '活沛多 緩釋型維他命cb群 30錠 台灣屈臣氏個人用品商店得和']",1百 | 活沛多游離型葉黃素30粒 | 高露潔纖柔備長炭牙刷3入 | 高露潔護齦牙刷 | 藥水
35,23,35_148___,"['148', '', '', '', '', '', '', '', '', '']","['ab原味優酪乳517ml(瓶) 統一超商台北市第七四一', '泰國皇家牛奶片 25g 寶雅國際台北公館', 'ab原味優酪乳517ml(瓶) 統一超商台北市第148']",ab原味優酪乳206ml(瓶) | ab原味優酪乳517ml(瓶) | ab原味優酪乳902ml(瓶) | 泰國皇家牛奶片 25g
36,23,36____,"['', '', '', '', '', '', '', '', '', '']","['餐飲-麥當勞 微風場站開發', '薯球(肯)(活動) 慵懶國際餐飲', '餐飲與食品(f&b) 潤泰旭展']",餐飲與食品(f&b) | 餐飲-麥當勞 | 薯球(肯)(活動) | 餐費 | 291689麥當勞速食餐
37,23,37_a___,"['a', '', '', '', '', '', '', '', '', '']","['一配哆啦a夢小蛋糕 全家便利商店台大二活門市部', '新-哆啦a夢小蛋糕 萊爾富國際第四七二六營業處', '一配哆啦a夢小蛋糕 全家便利商店台大二活門市部']",金黃起司火腿蛋三明治 | 鮪魚起司溏心蛋三明治 | 一配哆啦a夢小蛋糕 | 鮪魚洋芋溏心蛋三明治 | 生吐司
38,23,38____,"['', '', '', '', '', '', '', '', '', '']","['法式乳酪 貓啡因商行', '法式乳酪 貓啡因商行', '草莓 貓啡因商行']",草莓 | 炙燒乳酪蛋糕 | 草莓白乳酪 | 法式乳酪 | 生乳捲
39,23,39_60___,"['60', '', '', '', '', '', '', '', '', '']","['桌球場 長佳機電工程板橋國民運動中心營業所', '桌球場 長佳機電工程大安運動中心暨和平籃球館營業所', '健身房全票60分鐘 長佳機電工程大安運動中心暨和平籃球館營業所']",桌球場 | 撞球場 | 健身房全票60分鐘
40,21,40_a4___,"['a4', '', '', '', '', '', '', '', '', '']","['a4彩色160g列印ibon 統一超商台北市第七四一', 'a4彩色列印 全家便利商店台大二活門市部', 'a4黑白影印 統一超商台北市第七四一']",a4黑白列印ibon | 列印服務全錄黑白-a4 | a4彩色160g列印web | a4黑白影印 | a4彩色160g列印ibon
41,21,41_a___,"['a', '', '', '', '', '', '', '', '', '']","['韓國農心辛香菇杯麵 統一超商台北市第七四一', '蘿蔔糕 揚秦國際企業北市台視', '(a)科學麵原味 統一超商台北市第七四一']",韓國農心辛香菇杯麵 | 手工高麗菜捲 | 蘿蔔糕 | 黃金脆薯 | (a)科學麵原味
42,21,42____,"['', '', '', '', '', '', '', '', '', '']","['五椒麻辣牛肉 吾時食清燉紅燒牛肉麵', '經典香韻紅燒三寶 吾時食清燉紅燒牛肉麵', '母傳原湯清燉牛肉 吾時食清燉紅燒牛肉麵']",母傳原湯清燉牛肉 | 經典香韻紅燒牛肉 | 經典香韻紅燒三寶 | 燉煮叉燒肉 | 五椒麻辣牛肉
43,21,43____,"['', '', '', '', '', '', '', '', '', '']","['冰紅茶-大(新) 安心食品服務南港展館', '可樂-大(新) 安心食品服務南港展館', '玉米濃湯 安心食品服務長興門市部']",冰紅茶-大(新) | 玉米濃湯 | 烏龍 | 冰紅茶-中(新) | 中冰摩斯咖啡
44,20,44_2_0__,"['2', '0', '', '', '', '', '', '', '', '']","['台灣香蕉重量分享包(2入) 統一超商台北市第一0二七', '台灣香蕉重量分享包(2入) 統一超商台北市第一0二七', '台灣香蕉重量分享包(2入) 統一超商台北市第一0二七']",台灣香蕉重量分享包(2入) | 富士蘋果(截切-袋) | 蘇菲清新涼感薄荷日用23cm9片 | 京都念慈菴雙層枇杷軟喉糖(原味) | 易口舒無糖薄荷錠-清爽蜜桃
45,20,45____,"['', '', '', '', '', '', '', '', '', '']","['黃金蕎麥鮮奶 沐盛商行', '油切蕎麥茶 恆木茶行', '大 紅茶拿鐵 豐霈綠茶專賣店']",油切蕎麥茶 | 黃金蕎麥鮮奶 | 焦糖粉粿奶茶 | 青檸甘蔗蕎麥綠寶 | 輕烏龍鮮奶
